Table 17. Canonical Hash Values of Higher-Order Incidence Bipartite Graph for APN Functions over F2^8,,
Field,APN Function,Canonical Hash
F2^8,1,[N7cc69ab7 5c5647ba 775f14c7]
F2^8,2,[N76a24a0c 74b44ea 22fa8772]
F2^8,3,[N2fddda60 742bde6d 1eca909d]
F2^8,4,[N6aa291f8 5b11a5d0 3414b94]
F2^8,5,[N6a9c994e 15d99de8 16012fe7]
F2^8,6,[N6740a3d6 116a3374 72af8a2e]
F2^8,7,[N402a36e7 4eacf5af 555482f2]
F2^8,8,[Ne05738a 1d282142 77269e04]
F2^8,9,[N4cf479c2 6a1ad253 28d089ec]
F2^8,10,[N7b7f96d0 60054cfe 79ecee05]
F2^8,11,[N75462c93 1850e5d9 6f967351]
F2^8,12,[N4a3fadb8 15e6821b 42856666]
