Table 6. Canonical Hash Values of Minimum Weight Codeword Subgraphs for Some APN Functions over F2^8,,
Field,APN Function,Canonical Hash Value
F2^8,1,[N6513a731 6604eb95 7cd56025]
F2^8,2,[Ndc3b9f3 6a9fe080 24ee4875]
F2^8,3,[N79c77995 2e12a704 5feae5de]
F2^8,4,[N6e0aa419 1534b9a7 5ed636d3]
F2^8,5,[N31d10ce8 6bcc8291 55e7150b]
F2^8,6,[N2b988a24 7d92ef5e 6f080fb3]
F2^8,7,[N375f6bd0 33d7f5f4 3ca3c86c]
F2^8,8,[N38fb19a 2f031001 558590d7]
F2^8,9,[N2f696f97 5d40fec9 ef85739]
F2^8,10,[N4fdee991 6612da89 396fa829]
F2^8,11,[N44dbd666 5d6fa9ac 10872585]
F2^8,12,[N3cf0335a 1bfff623 2c220569]
