Table 2. Canonical Hash Values of Weighted Graphs of APN Functions over F2^6,,
Field,APN Function,Canonical Hash
F2^6,1,[N50e9ed0c 615046a9 3d52b5b8]
F2^6,2,[N53c9f33b 723b1213 4569f90f]
F2^6,3,[N56020cd5 2885e547 31a03763]
F2^6,4,[N741be8b5 5a414245 1f2b528b]
F2^6,5,[N796ae02a 3f7edb5d 279cad91]
F2^6,6,[N3af0a112 68b0a3ef 16e9b037]
F2^6,7,[N5832d9a4 376c2442 204bd0d]
F2^6,8,[N3596ebb9 6d214d9e e04cbec]
F2^6,9,[Naa1259b 63e3c73d 4116b3bb]
F2^6,10,[N1d6202ba 6aa4154e 3a5bba0e]
F2^6,11,[N5d39f09b 522e6544 7eb684ed]
F2^6,12,[N12996c6f 1d8485f9 7c6814b9]
F2^6,13,[N5efebe4b 783151b3 21da86c]
